idx	rho	beta	gamma	method	metric	perf
2	0.2	0.5	-inf	RWR + Prior(uKIN, Curv) + Curv	AveP	0.08976579916796074
3	0.2	0.5	-inf	RWR + Curv	Prec@100	0.19
3	0.2	0.5	-inf	RWR + Curv	Prec@200	0.18
3	0.2	0.5	-inf	RWR + Curv	AveP	0.08879287035360502
3	0.2	0.5	-inf	RWR + Prior(uKIN, Curv)	Prec@100	0.21
3	0.2	0.5	-inf	RWR + Prior(uKIN, Curv)	Prec@200	0.195
3	0.2	0.5	-inf	RWR + Prior(uKIN, Curv)	AveP	0.09517253283893844
3	0.2	0.5	-inf	RWR + Prior(uKIN) + Curv	Prec@100	0.2
3	0.2	0.5	-inf	RWR + Prior(uKIN) + Curv	Prec@200	0.195
3	0.2	0.5	-inf	RWR + Prior(uKIN) + Curv	AveP	0.09188228838259145
3	0.2	0.5	-inf	RWR + Prior(uKIN, Curv) + Curv	Prec@100	0.2
3	0.2	0.5	-inf	RWR + Prior(uKIN, Curv) + Curv	Prec@200	0.195
3	0.2	0.5	-inf	RWR + Prior(uKIN, Curv) + Curv	AveP	0.09433452918006792
4	0.2	0.5	-inf	RWR + Curv	Prec@100	0.21
4	0.2	0.5	-inf	RWR + Curv	Prec@200	0.18
4	0.2	0.5	-inf	RWR + Curv	AveP	0.08610741591378801
4	0.2	0.5	-inf	RWR + Prior(uKIN, Curv)	Prec@100	0.22
4	0.2	0.5	-inf	RWR + Prior(uKIN, Curv)	Prec@200	0.19
4	0.2	0.5	-inf	RWR + Prior(uKIN, Curv)	AveP	0.09335084219855505
4	0.2	0.5	-inf	RWR + Prior(uKIN) + Curv	Prec@100	0.22
4	0.2	0.5	-inf	RWR + Prior(uKIN) + Curv	Prec@200	0.19
4	0.2	0.5	-inf	RWR + Prior(uKIN) + Curv	AveP	0.08937035238416802
4	0.2	0.5	-inf	RWR + Prior(uKIN, Curv) + Curv	Prec@100	0.22
4	0.2	0.5	-inf	RWR + Prior(uKIN, Curv) + Curv	Prec@200	0.195
4	0.2	0.5	-inf	RWR + Prior(uKIN, Curv) + Curv	AveP	0.09187846902876473
5	0.2	0.5	-inf	RWR + Curv	Prec@100	0.22
5	0.2	0.5	-inf	RWR + Curv	Prec@200	0.19
5	0.2	0.5	-inf	RWR + Curv	AveP	0.08801648681669752
5	0.2	0.5	-inf	RWR + Prior(uKIN, Curv)	Prec@100	0.23
5	0.2	0.5	-inf	RWR + Prior(uKIN, Curv)	Prec@200	0.205
5	0.2	0.5	-inf	RWR + Prior(uKIN, Curv)	AveP	0.09606370488121786
5	0.2	0.5	-inf	RWR + Prior(uKIN) + Curv	Prec@100	0.23
5	0.2	0.5	-inf	RWR + Prior(uKIN) + Curv	Prec@200	0.205
5	0.2	0.5	-inf	RWR + Prior(uKIN) + Curv	AveP	0.09206498240503552
5	0.2	0.5	-inf	RWR + Prior(uKIN, Curv) + Curv	Prec@100	0.24
5	0.2	0.5	-inf	RWR + Prior(uKIN, Curv) + Curv	Prec@200	0.205
