idx	rho	beta	gamma	method	metric	perf
22	0.2	-inf	-inf	Naive	Prec@100	0.0
22	0.2	-inf	-inf	Naive	Prec@200	0.0
22	0.2	-inf	-inf	Naive	AveP	0.03650700091461893
22	0.2	-inf	-inf	RWR w/ GDC	Prec@100	0.15
22	0.2	-inf	-inf	RWR w/ GDC	Prec@200	0.125
22	0.2	-inf	-inf	RWR w/ GDC	AveP	0.06270460430220509
22	0.2	-inf	-inf	mND	Prec@100	0.18
22	0.2	-inf	-inf	mND	Prec@200	0.15
22	0.2	-inf	-inf	mND	AveP	0.08830980788580703
22	0.2	-inf	-inf	RWR	Prec@100	0.19
22	0.2	-inf	-inf	RWR	Prec@200	0.165
22	0.2	-inf	-inf	RWR	AveP	0.08214620710109774
23	0.2	-inf	-inf	Naive	Prec@100	0.0
23	0.2	-inf	-inf	Naive	Prec@200	0.0
23	0.2	-inf	-inf	Naive	AveP	0.036859168588646116
23	0.2	-inf	-inf	RWR w/ GDC	Prec@100	0.17
23	0.2	-inf	-inf	RWR w/ GDC	Prec@200	0.13
23	0.2	-inf	-inf	RWR w/ GDC	AveP	0.06451313263096323
23	0.2	-inf	-inf	mND	Prec@100	0.19
23	0.2	-inf	-inf	mND	Prec@200	0.165
23	0.2	-inf	-inf	mND	AveP	0.08917448048687251
23	0.2	-inf	-inf	RWR	Prec@100	0.23
23	0.2	-inf	-inf	RWR	Prec@200	0.17
23	0.2	-inf	-inf	RWR	AveP	0.0837523055753693
24	0.2	-inf	-inf	Naive	Prec@100	0.0
24	0.2	-inf	-inf	Naive	Prec@200	0.0
24	0.2	-inf	-inf	Naive	AveP	0.03716383284803089
24	0.2	-inf	-inf	RWR w/ GDC	Prec@100	0.15
24	0.2	-inf	-inf	RWR w/ GDC	Prec@200	0.125
24	0.2	-inf	-inf	RWR w/ GDC	AveP	0.06313876594020248
24	0.2	-inf	-inf	mND	Prec@100	0.17
24	0.2	-inf	-inf	mND	Prec@200	0.16
24	0.2	-inf	-inf	mND	AveP	0.08885476726913777
24	0.2	-inf	-inf	RWR	Prec@100	0.21
24	0.2	-inf	-inf	RWR	Prec@200	0.155
24	0.2	-inf	-inf	RWR	AveP	0.0830488652721072
25	0.2	-inf	-inf	Naive	Prec@100	0.0
25	0.2	-inf	-inf	Naive	Prec@200	0.0
25	0.2	-inf	-inf	Naive	AveP	0.03678106949555558
25	0.2	-inf	-inf	RWR w/ GDC	Prec@100	0.14
25	0.2	-inf	-inf	RWR w/ GDC	Prec@200	0.12
25	0.2	-inf	-inf	RWR w/ GDC	AveP	0.06521864045756597
25	0.2	-inf	-inf	mND	Prec@100	0.18
25	0.2	-inf	-inf	mND	Prec@200	0.16
25	0.2	-inf	-inf	mND	AveP	0.09137106856236632
25	0.2	-inf	-inf	RWR	Prec@100	0.19
25	0.2	-inf	-inf	RWR	Prec@200	0.15
25	0.2	-inf	-inf	RWR	AveP	0.08532087701478502
26	0.2	-inf	-inf	Naive	Prec@100	0.0
26	0.2	-inf	-inf	Naive	Prec@200	0.0
26	0.2	-inf	-inf	Naive	AveP	0.036520618607591385
26	0.2	-inf	-inf	RWR w/ GDC	Prec@100	0.15
26	0.2	-inf	-inf	RWR w/ GDC	Prec@200	0.125
26	0.2	-inf	-inf	RWR w/ GDC	AveP	0.06464550768942842
26	0.2	-inf	-inf	mND	Prec@100	0.17
26	0.2	-inf	-inf	mND	Prec@200	0.165
26	0.2	-inf	-inf	mND	AveP	0.08901942516041045
26	0.2	-inf	-inf	RWR	Prec@100	0.21
26	0.2	-inf	-inf	RWR	Prec@200	0.16
26	0.2	-inf	-inf	RWR	AveP	0.08349841615252884
27	0.2	-inf	-inf	Naive	Prec@100	0.0
27	0.2	-inf	-inf	Naive	Prec@200	0.0
