idx	rho	beta	gamma	method	metric	perf
4	0.2	0.5	-inf	RWR + Curv	Prec@200	0.15
4	0.2	0.5	-inf	RWR + Curv	AveP	0.08136720928063546
4	0.2	0.5	-inf	RWR + Prior(uKIN, Curv)	Prec@100	0.19
4	0.2	0.5	-inf	RWR + Prior(uKIN, Curv)	Prec@200	0.16
4	0.2	0.5	-inf	RWR + Prior(uKIN, Curv)	AveP	0.08661804395122766
4	0.2	0.5	-inf	RWR + Prior(uKIN) + Curv	Prec@100	0.19
4	0.2	0.5	-inf	RWR + Prior(uKIN) + Curv	Prec@200	0.16
4	0.2	0.5	-inf	RWR + Prior(uKIN) + Curv	AveP	0.08448817648097029
4	0.2	0.5	-inf	RWR + Prior(uKIN, Curv) + Curv	Prec@100	0.19
4	0.2	0.5	-inf	RWR + Prior(uKIN, Curv) + Curv	Prec@200	0.165
4	0.2	0.5	-inf	RWR + Prior(uKIN, Curv) + Curv	AveP	0.08713804992889419
5	0.2	0.5	-inf	RWR + Curv	Prec@100	0.2
5	0.2	0.5	-inf	RWR + Curv	Prec@200	0.165
5	0.2	0.5	-inf	RWR + Curv	AveP	0.08464641975131876
5	0.2	0.5	-inf	RWR + Prior(uKIN, Curv)	Prec@100	0.22
5	0.2	0.5	-inf	RWR + Prior(uKIN, Curv)	Prec@200	0.165
5	0.2	0.5	-inf	RWR + Prior(uKIN, Curv)	AveP	0.0913596215503145
5	0.2	0.5	-inf	RWR + Prior(uKIN) + Curv	Prec@100	0.21
5	0.2	0.5	-inf	RWR + Prior(uKIN) + Curv	Prec@200	0.17
5	0.2	0.5	-inf	RWR + Prior(uKIN) + Curv	AveP	0.08793231209441789
5	0.2	0.5	-inf	RWR + Prior(uKIN, Curv) + Curv	Prec@100	0.21
5	0.2	0.5	-inf	RWR + Prior(uKIN, Curv) + Curv	Prec@200	0.17
