id	RWR	RWR + Curv	RWR + Prior(uKIN)	RWR + Prior(uKIN, Curv)	RWR + Prior(uKIN) + Curv	RWR + Prior(uKIN, Curv) + Curv	RWR + Prior(RWR)	RWR + Prior(RWR, Curv)	RWR + Prior(RWR) + Curv	RWR + Prior(RWR, Curv) + Curv
Q99638	15.375727821625945	16.49600843799101	16.084305936754568	16.69076911810099	17.283206934824033	17.960400486392967	9.176984296986442	10.254177199063273	10.424168796825974	11.488896269221042
Q99640	16.609450568440707	17.206767553403445	16.29474095609087	16.013253726747486	16.88220030216952	16.591092589424914	8.800460964043028	8.915675874442412	8.962120195072147	9.069773153224572
Q99643	9.015260971692914	9.024447233487274	13.140547864505546	16.528964260339027	13.17762879068374	16.606455077405453	34.19058184774754	37.39410933452391	40.34162525937139	42.23803308702041
Q99645	3.878324055972269	3.9145101532408613	3.771231484718097	3.7271093237271495	3.795757416221914	3.7469401028199005	3.539013377763634	3.5394145832361716	3.539450769434804	3.539803027270713
Q99650	7.810679757375559	7.923569248578862	7.922150176045058	7.9932527096390835	8.05338328733407	8.135665412651115	5.0050832349007015	5.090195616267626	5.098550009193141	5.177171248498428
Q99653	16.083904961320737	16.44299101384965	16.164028290639394	16.18108134111653	16.539231534480365	16.563930162578323	10.361253315934665	10.645098198395429	10.71233639367436	10.927461870880249
Q99661	24.493085299514753	24.674802044029004	24.363785330536807	24.206477835608293	24.546478665139265	24.386474716057464	11.938683326983375	11.652224219425943	11.630638736221018	11.606907770778841
Q99665	5.38766005143053	5.77683178008123	5.220636486919343	5.119173166814873	5.585963141701918	5.470286925304328	2.804654333566041	2.8438655620182764	2.85236265049574	2.89004569905171
Q99666	8.316096239710454	9.041755147175623	8.430481362796508	8.465909540089351	9.181111965482364	9.231918008841355	1.4044883446514558	1.6245034806778544	1.6829342639571443	1.9046963077621901
Q99674	6.181470152728672	6.048757408723731	6.028219653673651	5.8803401395644705	5.930877337135095	5.815694478977134	5.608678266165307	5.604075829927008	5.605946623475731	5.602439581616603
Q99675	19.87982206770503	21.25155213188162	18.984091123713252	18.32035048646872	20.288998067349294	19.573196143799805	6.67529333630775	6.943431054883559	6.950277181768204	7.194671445833348
Q99676	6.845498534465822	6.989794192178265	6.6954912828759	6.56607518294937	6.8316308109470345	6.696570685910931	4.090423414270566	4.077853920411019	4.081787448551801	4.084066445522006
Q99677	8.404134220971965	9.268402092088188	8.110955329681191	7.855004280847741	8.945316162988666	8.661897468089395	2.220444109490358	2.386276999211126	2.3966542480450053	2.572220676125695
Q99678	12.70628075521069	12.842976576299192	12.277891058143519	12.092044526259533	12.373344528724283	12.169712732555166	11.263862731532802	11.265390395615373	11.264890228285315	11.266537178659428
Q99679	20.323406531855145	22.261792652917944	19.103293496123143	18.140600981384654	20.95691645187488	19.924576412300574	3.395442639611367	3.831721570450714	3.9146056054533718	4.384672497982381
Q99680	12.28421992050521	12.45308974705028	12.014698930966134	11.897326604293019	12.140700473799136	12.004957444193547	11.258459421993797	11.259477429035712	11.259579240391533	11.260772109936527
Q99683	26.375070419972374	27.40529332693124	27.416647741885217	28.228867474197624	28.521893027440154	29.395257719724537	19.68205132767483	22.074517665985063	22.636207915948138	24.835266774701726
Q99684	10.218425982564975	10.819780611224278	10.1456648047248	10.05985542228832	10.738932574947539	10.645645875280687	3.715507305234313	3.928237993453989	3.9527426189918518	4.12034242427415
Q99685	12.536093751405867	13.01229276994391	12.01142021457937	11.606736127337927	12.4590420188521	12.031072471904965	6.025709378800878	6.072976352833671	6.1069985459792475	6.140249499549784
Q99687	8.522749976474499	8.893621936140018	8.874883430005443	9.05406306030615	9.3006195927134	9.509162589358006	4.662842038525132	4.820592826564928	4.840475241524826	4.968781648281724
Q99689	26.776931742827617	29.027273528578608	26.01230582938259	25.402274219911583	28.188474803871	27.525294423639004	8.425193224898514	8.991516913697765	9.069929209890107	9.617837043403265
Q99697	18.488267004569245	19.843036233277562	18.235050767174066	17.98192174688317	19.560450278943065	19.275260824852364	7.32851582689767	7.691244903347932	7.781140641307171	8.094691740519064
Q99698	10.418056963289237	10.9478893294854	10.544635691559467	10.61124447021979	11.09578732254128	11.176876929369014	4.991774578578802	5.169655391693243	5.203624482240492	5.440084124935066
Q99700	38.24020300481008	39.15114555713599	38.447405937599584	38.64165206567929	39.38404578269245	39.601159849398606	23.23587659110942	24.17787374060959	24.024398534727005	25.075973319908265
Q99704	14.41452420498682	15.448483185608735	15.812596544757067	16.881487466223756	17.019015294101393	18.21887251092876	11.367608344561974	13.122288078884425	13.47386114178766	15.000853233383824
Q99705	16.07424468912024	16.22258923367515	14.420809922124466	13.835428724108954	14.5134963129551	13.909887976841553	11.348774212178785	11.355594150778247	11.351574683875063	11.35857396539868
Q99706	13.577599594307028	13.808631739776612	13.298058653019222	13.106721394941246	13.504338270448855	13.296153221553213	11.276622671257268	11.282948240922941	11.283608820964162	11.289517585940324
Q99707	12.165023859380204	12.654227813009888	11.890807655239913	11.596503732578087	12.371602736973333	12.06735373519986	3.8232266160105066	3.8321671023753145	3.879147268206239	3.954660058936358
Q99708	16.69913381699816	17.720814793534647	17.17845005530372	17.57878610954364	18.24294074282559	18.680068210455364	8.961936335447042	10.094269286527588	10.063934749079529	11.048351205745318
